Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-04-13,18:30,Série A,Matchweek 1,Sat,Away,D,1,1,Criciúma,0.6,0.7,53,"12,804",Nenê,4-4-2,4-3-1-2,Bruno Pereira Vasconcelos,Match Report,
2024-04-17,20:00,Série A,Matchweek 2,Wed,Home,W,2,0,Corinthians,1.6,1.1,44,"7,478",Nenê,4-2-3-1,4-3-3,Bruno Arleu,Match Report,
2024-04-21,18:30,Série A,Matchweek 3,Sun,Away,L,1,5,Botafogo (RJ),0.3,2.9,45,"13,273",Nenê,4-2-3-1,4-4-2,Arthur Gomes Rabelo,Match Report,
2024-04-28,18:30,Série A,Matchweek 4,Sun,Home,D,1,1,Ath Paranaense,1.2,1.3,55,"5,032",Nenê,4-2-3-1,4-2-3-1,Alex Gomes Stefano,Match Report,
2024-06-01,18:30,Série A,Matchweek 7,Sat,Away,D,1,1,Fluminense,1.3,2.3,38,"21,037",Nenê,4-2-3-1,4-2-3-1,Matheus Delgado Candançan,Match Report,
2024-06-05,19:00,Série A,Matchweek 5,Wed,Home,W,1,0,Atl Goianiense,1.3,1.6,42,"5,123",Nenê,4-2-3-1,4-3-3,Raphael Claus,Match Report,
2024-06-11,19:00,Série A,Matchweek 8,Tue,Home,D,1,1,Vitória,0.7,0.5,60,"6,186",Nenê,4-2-3-1,4-1-4-1,Wagner do Nascimento Magalhães,Match Report,
2024-06-15,18:30,Série A,Matchweek 9,Sat,Away,L,1,2,Red Bull Bragantino,2.1,0.5,63,"3,338",Alan Ruschel,4-2-3-1,4-3-3,Emerson Ricardo de Almeida Andrade,Match Report,
2024-06-19,20:00,Série A,Matchweek 10,Wed,Home,W,2,0,Vasco da Gama,1.3,0.3,54,"4,838",Nenê,4-2-3-1,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,
2024-06-23,18:30,Série A,Matchweek 11,Sun,Away,L,1,3,Palmeiras,1.4,2.9,44,"38,258",Nenê,4-2-3-1,4-2-3-1,Davi de Oliveira Lacerda,Match Report,
2024-06-26,20:00,Série A,Matchweek 12,Wed,Home,W,2,1,Flamengo,2.2,1.6,53,"12,675",Nenê,4-2-3-1,4-2-3-1,Matheus Delgado Candançan,Match Report,
2024-06-30,16:00,Série A,Matchweek 13,Sun,Away,L,1,2,Fortaleza,1.1,2.6,62,"33,717",Jadson,4-2-3-1,4-2-3-1,Rodrigo José Pereira de Lima,Match Report,
2024-07-04,19:00,Série A,Matchweek 14,Thu,Away,L,0,2,Bahia,0.7,1.8,44,"40,442",Alan Ruschel,4-2-3-1,4-1-3-2,Wagner do Nascimento Magalhães,Match Report,
2024-07-07,16:00,Série A,Matchweek 15,Sun,Home,W,3,0,Grêmio,1.7,0.8,48,,Alan Ruschel,4-2-3-1,4-4-2,Matheus Delgado Candançan,Match Report,
2024-07-16,19:00,Série A,Matchweek 17,Tue,Home,D,1,1,Atlético Mineiro,0.9,1.8,26,,Alan Ruschel,4-2-3-1,4-2-3-1,Alex Gomes Stefano,Match Report,
2024-07-21,18:30,Série A,Matchweek 18,Sun,Home,D,0,0,São Paulo,0.8,0.5,38,,Alan Ruschel,4-2-3-1,4-2-3-1,Wilton Pereira Sampaio,Match Report,
2024-07-24,19:00,Série A,Matchweek 19,Wed,Away,L,0,2,Cruzeiro,0.9,2.4,45,,Alan Ruschel,4-2-3-1,4-3-3,Maguielson Lima Barbosa,Match Report,
2024-07-27,19:00,Série A,Matchweek 20,Sat,Home,L,1,2,Criciúma,0.5,1.7,59,,Jadson,4-2-3-1,4-2-3-1,João Vitor Gobi,Match Report,
2024-08-04,16:00,Série A,Matchweek 21,Sun,Away,D,1,1,Corinthians,0.7,2.4,36,,Alan Ruschel,4-2-3-1,4-2-3-1,Lucas Paulo Torezin,Match Report,
